PercentageMelodyScore,PercentageOfRhythmScore,PercentageOfTotalMETScore,F1,F2,F3,F4,F5,GS
69.23076923,69.23076923,69.23076923,32,43,23,31,24,72
80.76923077,67.30769231,74.03846154,20,43,8,39,15,41
55.76923077,71.15384615,63.46153846,41,35,9,34,10,40
71.15384615,80.76923077,75.96153846,26,33,7,30,25,48
73.07692308,73.07692308,73.07692308,20,46,25,26,26,57
67.30769231,80.76923077,74.03846154,21,41,25,26,25,66
59.61538462,76.92307692,68.26923077,40,48,9,33,38,68
65.38461538,71.15384615,68.26923077,24,34,8,31,17,43
75,67.30769231,71.15384615,38,38,22,32,18,56
57.69230769,75,66.34615385,29,48,12,28,22,50
75,80.76923077,77.88461538,21,33,9,20,20,38
59.61538462,61.53846154,60.57692308,37,44,11,32,16,53
71.15384615,80.76923077,75.96153846,61,53,33,40,23,90
76.92307692,80.76923077,78.84615385,36,54,37,37,33,91
82.69230769,80.76923077,81.73076923,42,46,30,29,29,77
78.84615385,84.61538462,81.73076923,38,45,18,33,18,59
73.07692308,69.23076923,71.15384615,36,54,28,35,38,92
51.92307692,75,63.46153846,32,40,12,30,32,62
57.69230769,76.92307692,67.30769231,43,46,10,38,26,64
69.23076923,88.46153846,78.84615385,26,40,9,30,23,47
69.23076923,67.30769231,68.26923077,29,21,10,17,13,32
63.46153846,65.38461538,64.42307692,35,33,9,33,15,39
71.15384615,69.23076923,70.19230769,31,45,15,37,25,59
82.69230769,92.30769231,87.5,54,56,23,41,30,85
78.84615385,82.69230769,80.76923077,40,53,37,32,40,107
59.61538462,65.38461538,62.5,35,36,7,33,32,51
65.38461538,67.30769231,66.34615385,31,38,11,34,29,56
57.69230769,53.84615385,58.65384615,39,40,16,32,25,64
55.76923077,69.23076923,62.5,16,42,19,31,24,57
73.07692308,63.46153846,68.26923077,29,49,20,27,14,56
63.46153846,78.84615385,71.15384615,29,44,24,31,22,60
71.15384615,78.84615385,75,27,43,8,29,29,55
69.23076923,82.69230769,75.96153846,45,42,23,34,26,71
78.84615385,76.92307692,77.88461538,37,57,30,34,29,81
88.46153846,80.76923077,57.69230769,37,59,25,35,36,82
73.07692308,73.07692308,73.07692308,14,46,7,26,11,33
67.30769231,71.15384615,69.23076923,9,33,32,16,17,47
57.69230769,76.92307692,67.30769231,26,41,26,27,18,59
67.30769231,76.92307692,72.11538462,35,42,14,33,27,63
69.23076923,75,72.11538462,48,41,22,30,20,70
53.84615385,63.46153846,58.65384615,33,35,7,22,12,32
78.84615385,78.84615385,78.84615385,18,24,15,21,9,28
67.30769231,76.92307692,72.11538462,25,43,13,30,19,50
69.23076923,82.69230769,75.96153846,29,37,16,30,21,52
57.69230769,61.53846154,59.61538462,21,42,9,27,20,45
71.15384615,69.23076923,70.19230769,33,50,11,33,15,47
71.15384615,71.15384615,71.15384615,39,52,36,40,33,91
75,63.46153846,69.23076923,43,55,25,37,36,87
80.76923077,75,77.88461538,41,44,24,36,23,67
80.76923077,92.30769231,86.53846154,18,41,11,32,26,50
84.61538462,86.53846154,85.57692308,35,58,31,34,33,88
73.07692308,78.84615385,75.96153846,33,38,18,36,24,61
80.76923077,67.30769231,74.03846154,39,54,28,41,29,95
69.23076923,86.53846154,77.88461538,48,56,31,36,27,87
73.07692308,65.38461538,69.23076923,28,34,17,35,24,49
53.84615385,69.23076923,61.53846154,32,33,8,24,20,43
59.61538462,57.69230769,58.65384615,26,44,12,25,24,54
55.76923077,57.69230769,56.73076923,37,58,13,38,19,58
57.69230769,53.84615385,55.76923077,40,44,8,24,25,49
61.53846154,75,68.26923077,15,33,8,22,14,28
82.69230769,75,78.84615385,41,52,36,41,28,88
73.07692308,80.76923077,76.92307692,41,57,21,40,35,75
82.69230769,69.23076923,75.96153846,37,37,8,29,24,47
80.76923077,84.61538462,82.69230769,39,53,29,35,39,91
63.46153846,69.23076923,66.34615385,15,32,7,13,11,28
75,69.23076923,72.11538462,26,42,22,32,20,57
78.84615385,80.76923077,79.80769231,21,35,13,25,16,42
75,80.76923077,77.88461538,23,24,8,19,18,36
59.61538462,55.76923077,57.69230769,14,27,7,21,16,31
71.15384615,73.07692308,72.11538462,42,24,8,37,18,50
71.15384615,80.76923077,75.96153846,45,52,32,37,42,95
61.53846154,69.23076923,65.38461538,50,42,8,26,19,59
67.30769231,73.07692308,70.19230769,23,25,8,27,13,31
67.30769231,80.76923077,74.03846154,22,42,16,32,25,50
59.61538462,67.30769231,63.46153846,25,34,16,32,32,62
61.53846154,63.46153846,62.5,47,53,22,38,36,85
50,59.61538462,54.80769231,21,45,13,27,35,62
57.69230769,65.38461538,61.53846154,48,51,9,40,25,58
50,76.92307692,63.46153846,22,39,13,27,20,50
67.30769231,69.23076923,68.26923077,33,40,18,32,15,50
84.61538462,84.61538462,84.61538462,44,50,32,37,32,92
57.69230769,69.23076923,63.46153846,22,38,13,19,13,39
50,82.69230769,66.34615385,26,51,7,26,31,61
75,73.07692308,74.03846154,40,48,16,37,34,72
76.92307692,67.30769231,72.11538462,38,50,13,31,17,52
69.23076923,65.38461538,67.30769231,33,44,30,41,21,75
63.46153846,67.30769231,65.38461538,15,42,19,14,11,36
71.15384615,78.84615385,75,18,29,7,26,9,28
80.76923077,73.07692308,76.92307692,22,56,16,29,42,75
65.38461538,61.53846154,63.46153846,16,36,8,29,13,35
92.30769231,73.07692308,82.69230769,17,45,23,28,19,53
75,88.46153846,81.73076923,34,53,37,33,29,83
76.92307692,76.92307692,76.92307692,37,28,22,10,27,63
63.46153846,71.15384615,67.30769231,24,54,15,33,38,75
82.69230769,69.23076923,75.96153846,28,53,29,31,27,73
73.07692308,73.07692308,73.07692308,20,46,24,29,30,71
73.07692308,78.84615385,75.96153846,37,54,26,30,35,82
88.46153846,76.92307692,82.69230769,38,57,34,40,35,94
84.61538462,84.61538462,84.61538462,30,50,30,28,24,74
63.46153846,82.69230769,73.07692308,47,55,34,36,35,97
78.84615385,76.92307692,77.88461538,28,41,4,31,25,53
82.69230769,82.69230769,82.69230769,29,44,7,24,24,55
76.92307692,71.15384615,74.03846154,25,35,10,22,20,49
61.53846154,65.38461538,63.46153846,28,34,14,21,32,56
53.84615385,53.84615385,53.84615385,27,39,8,19,20,45
65.38461538,76.92307692,71.15384615,23,40,9,27,21,54
80.76923077,69.23076923,75,29,41,5,30,28,53
57.69230769,67.30769231,62.5,31,45,16,27,35,79
78.84615385,63.46153846,71.15384615,39,44,5,34,27,69
